Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
William Neal,10/7/1955,United States,1998,3,3,"Neal massacred three women with an axe. He was convicted of the brutal slayings of Rebecca Lynn Holberton, 44, Angela Fite, 28, and Candace Anita Walters, 48. The women, who all had relationships with Neal, were found dead at a gruesome crime scene in Holberton's townhome in 1998. He tied up a fourth victim, forced her to watch one of the murders and then raped her. He said that if he hadn't wanted to get caught, he would have murdered the women in the mountains and disposed of their bodies. By allowing the rape victim to live, he said, he was assured that ""her testimony alone could put me to the death-penalty phase"".",Rapist,Wild Bill Cody
Peter Bryan,10/3/1969,United Kingdom,1993-2004,3,3,"English serial killer cannibal and diagnosed paranoid schizophrenic. Bryan was preventively detained in a mental institution, Rampton Hospital, after killing a shop assistant with a hammer in 1993. Bryan was transferred to an open psychiatric ward at Newham General Hospital after psychiatrists noted his continued improvement. Upon his transfer in 2004, Bryan killed a friend and later confessed to dismembering the body and cooking the brain in butter and eating them. Bryan was held at Belmarsh prison and later transferred to Broadmoor Hospital where he killed a fellow mental patient, declaring that he did not eat him solely because he was caught first.","Cannibal, Strangler",
Michael Lee Lockhart,9/30/1960,United States,1987-1988,3,6," Lockhart received death sentences in three separate states Florida, Indiana, and Texas. He would rape stab and mutilate his victims, he shot at least one of his victims. Lockhart was convicted of the capital murder of police officer Paul Hulsey Jr. in Beaumont, Texas. He was also implicated in the sexual assault, murder and mutilation of 16-year-old Wendy Gallagher in Griffith, Indiana, 14-year-old Jennifer Colhouer in Land O' Lakes, Florida and the sexual assault of Lockhart's former wife in Toled. In 1997, Michael Lee Lockhart was executed by lethal injection at the Texas State Penitentiary at Huntsville, Texas.","Pedophile, Rapist, Torturer",The Perfect Gentleman
Richard Laurence Marquette,12/12/1934,United States,1961-1975,3,3,"Marquette was known to drain the blood, mutilate, dismember and scatter the remains of his victims. Marquette was the first person ever to be added as an eleventh name on the FBI Ten Most Wanted List for killing, mutilating and dismembering a woman in 1961.","Rapist, Strangler",Dick Marquette
Todd Kohlhepp,3/7/1971,United States,2003-2016,7,7,"In 2016, Kohlhepp was named as a person of interest in an unsolved 2003 bank robbery and triple homicide at the local Blue Ridge Savings Bank. In 2017, Kohlhepp pleaded guilty to seven counts of murder, two counts of kidnapping and one count of criminal sexual assault. On August 30th 2018 Kohlhepp's 96-acre property in Woodruff and more than 550 items were sold at a short-sale auction to the general public. The proceeds go to the family members of Kohlhepp's victims.",Rapist,Superbike Murderer
Peter Manuel,3/1/1927,United States,1956-1958,7,9,"Manuel was the one of the last prisoner to be hanged in Scotland, after a sensational trial in which he conducted his own defense. In 1958, Manuel was convicted of the murders of seven people, one murder case was thrown out of court and another was attributed to him but was never proven. In 1958, Peter Manuel was executed by hanging at Barlinnie prison in Glasgow, Scotland.","Rapist, Torturer",Beast of Birkenshaw
Sataro Fukiage,2/25/1889,Japan,1906-1924,7,7,"In 1906, Fukiage raped and murdered an 11-year-old girl. In 1923, Fukiage was arrested for molesting a four-year-old girl, but was later released. He raped and murdered six young girls, aged 11 to 16, between 1923 and 1924. He was arrested on July 28th 1924 and was sentenced to death by hanging in 1925.","Rapist, Strangler, Pedophile",Shinshumaro
Stanislaw Modzelewski,3/15/1929,Poland,1952-1967,7,8,"Modzelewski's victims were women aged between 18 and 87, he killed victims by strangling with a scarf or with his bare hands. At least one victim had razor blade like cuts on her buttocks. He was only convicted of seven murders because one victims body was never found. Modzelewski took valuable and other useless items from his victims. St","Vampire, Rapist, Strangler, Stalker",The Vampire of Galkowek
Christine Falling,3/12/1963,United States,1980-1982,6,6,Sentenced to life imprisonment in December 1982.,,Christine Laverne Slaughter
Ottis Toole,3/5/1947,United States,1961-1983,6,108,Toole confessed to killing more than a hundred people (108 Total) with his partner Henry Lee Lucas.,Cannibal,The Jacksonville Cannibal
Robert Joseph Zani,2/26/1944,United States,1967-1980,6,6,"Zani would typically shoot or beat his victims to death. Zani was born in 1944 as only child, who was sexually abused by his mother as a teenager. He attended school and attained good grades. It wasn’t until his first murder in 1967 that he had done anything notably illegal. Zani was arrested in 1980 for the murders of three of his victims. He was convicted of murder for two of his victims and second degree murder for killing his own mother on 1982. On March 31, 1986 the murder conviction for his mother was overturned.",,
Morris Solomon,3/15/1944,United States,1986-1987,6,7,"Solomon killed six young women between 1986 and 1987 in Sacramento, California. Solomon would bound, beat and rape his victims burying the body wrapped in bed sheets. He worked as a handyman in Sacramento, California. In 1987, Solomon was arrested after authorities found bodies buried at a residence associated with Solomon. He lived in his abandoned car which was parked on a lot at the residence.","Rapist, Strangler","Homicidal Handyman of Oak Park, The Sacramento Slayer"
Aileen Carol Wuornos,2/29/1956,United States,1989-1990,6,8,"Aileen Carol Wuornos an American serial killer who killed strangers, all men, along Florida highways over 13 months while working as a prostitute between 1989 and 1990. Wuornos claimed that her victims attempted to rape her while she was working as a prostitute, and that all of the homicides were committed in self-defense. The 2003 film Monster starred Charlize Theron as Wuornos.",,Monster
Stephen Richards,3/18/1856,United States,1878,5,9,"Stephen Richards (Stephen Dee Richards) an American serial killer who confessed to committing nine murders in Nebraska and Iowa between 1876 and 1878. Richards was convicted for the axe murder of the Harlson family, a woman and her three children, and for the murder of a neighbor of his. Stephen Richards was executed in 1879 by hanging in Minden, Nebraska.",,The Nebraska Fiend
Cathy Wood,3/7/1962,United States,1987,5,5,"Cathy Wood (Catherine May Wood) an American serial killer who along with her partner Gwendolyn Graham, known as the the Alpine Manor serial killers were convicted of killing five elderly women in Walker, Michigan, a suburb of Grand Rapids, in the 1980s. Graham and Wood turned the selection of victims into a game, choosing victims whose initials collectively spelled M-U-R-D-E-R. They committed their crimes in the Alpine Manor nursing home, where they both worked as nurse's aides. In 2013 Wood's posted an illegal online dating profile on Cowtowninfo.com in hopes of meeting someone new. As an inmate in Florida, Wood may have pen pals, but is prohibited from soliciting for pen pals. The profile has been taken down. On October 24th 2018 Wood's was granted early release for good behavior.",,One of the Alpine Manor serial killers
Colin Ireland,3/16/1954,United Kingdom,1993,5,5,"Ireland was a highly organized serial killer-- he picked passive masochist gay men in the Coleherne public house, accompanied them home, and murdered them after they were voluntarily restrained. Ireland carried a full murder kit of rope, handcuffs and a full change of clothes to each murder. He then cleaned the house of forensic evidence and left when he was sure of not appearing suspicious. In 1993, Ireland admitted all charges and was given life sentences for each. Colin Ireland died from pulmonary fibrosis on February 21st 2012 at Wakefield Prison in England.","Torturer, Strangler",The Gay Slayer
Timothy Wilson Spencer,3/17/1962,United States,1984-1987,5,5,,"Rapist, Strangler",The Southside Strangler
Faryion Wardrip,3/6/1959,United States,1984-1986,5,5,"Wardrip assaulted and murdered a total of five women around Wichita Falls, Texas between 1984 and 1986. He was convicted and sentenced to thirty-five years in prison for only one of the murders, he was released on parole in 1997. Wardrip was arrested and convicted in connection with the other murders in 1999. He was sentenced to death plus three life terms.","Rapist, Torturer, Strangler",The Wichita Falls Body Snatcher
Joseph Edward Duncan,2/25/1963,United States,1996-2005,5,7,"He was a child molester active between 1996 and 2005. Duncan was convicted of killing a California boy in 1997 and four members of an Idaho family in 2005. He confessed to two 1996 murders in Washington state, but has not been formally charged. Ducan would kidnap, rape and murder victims. Duncan maintained a personal website, entitled The Fifth Nail. He killed at least one victim by hitting them with a hammer. Joseph Duncan is currently on death row at USP Terre Haute in Terre Haute, Indiana.","Pedophile, Rapist, Torturer",The Fitth Nail
William Patrick Fyfe,2/27/1955,Canada,1979-1999,5,9,"William Patrick Fyfe a Canadian serial killer and rapist known as The Killer Handyman. Fyfe was convicted of killing five women in the Montreal area of Quebec. He was sentenced to life in prison in 2001. Fyfe made confession to four additional murders in exchange for obtaining a transfer from a Quebec prison to a prison in Western Canada. Authorities say Fyfe will not be tried for the four new murders, because he is already serving a life sentence, the maximum under the law. William Patrick Fyfe is currently serving his sentence at the Saskatoon prison in Western Canada.",Rapist,The Killer Handyman
Léopold Dion,2/25/1920,Canada,1963,4,4,"Léopold Dion a Canadian sex offender and serial killer known as the Monster of Port-Rouge. Dion was active in Quebec. He was sentenced to death by hanging. Léopold Dion was stabbed to death on November 17th 1972 by fellow inmate named Normand ""Lawrence d'Arabie"" Champagne, who was found not guilty by reason of insanity.",,Monster of Port-Rouge
John Straffen,2/27/1930,United Kingdom,1951-1952,3,3,"John Straffen (John Thomas Straffen) an English serial killer who killed two young girls in the summer of 1951. Straffen killed his third victim after escaping from the mental hospital where he was being held for the first two murders. Straffen's sentence was commuted to life imprisonment at Frankland Prison in County Durham, England. John Straffen died at Frankland Prison in 2007 at the age of seventy-seven. He had been in prison for a British record of fifty-five years and is currently the longest-serving prisoner in British legal history. Straffen taking the record from fellow serial killer Ian Brady.",Strangler,Longest-serving prisoner in British legal history
Juan Covington,3/3/1962,United States,1998-2005,3,3,Covington shot and killed three victims between 1998 and 2005. Juan Covington was arrested in 2005 after security camera footage linked him to the murder of co-worker at the Pennsylvania Hospital in Philadelphia.,,
Robert Napper,3/25/1966,United Kingdom,1992-1993,3,3,"Napper would rape, smother, stab and mutilate his victims.Napper was suspected of up to seventy other violent sexual attacks in South East London attributed to the unidentified Green Chain rapist. In 1994, Napper was arrested after his fingerprint was recovered from a 1993 crime scene. One of his victims was so badly mutilated that a police photographer was put into therapy for two years. In 2008, Robert Napper was convicted of the manslaughter and on the grounds of diminished responsibility was preventively detained at the Broadmoor Hospital in Berkshire, England.","Rapist, Stalker","Green Chain Rapist, The Plumstead Ripper"
Albert Fish,3/19/1870,United States,1924-1932,3,9,"Albert Fish (born Hamilton Howard Fish) an American serial killer and child rapist who was convicted and executed for the kidnapping, rape murder and cannibalization of three children in New York, suspected of the deaths of six more children and teenagers. Likely insane (though his insanity plea was denied to make possible his execution), Fish boasted that he ""had children in every state"" and at one point claimed 100 victims. Fish would drink the blood of his victims. Detective William King believed Fish was a suspect in the Brooklyn vampire case but Fish denied any involvement.","Pedophile, Rapist, Vampire, Cannibal, Torturer, Stalker","Gray Man, Werewolf of Wysteria, The Boogey Man"
Tiago Gomes da Rocha,2/4/1988,Brazil,2011-2014,39,39,"Tiago Gomes da Rocha confessed to the murders of thirty-nine people. He approached his victims on a motorbike and shouted ""robbery"" before shooting them. However, Rocha never took anything from his victims. He targeted homeless people, women and homosexuals in Goiás, Brazil. During his confessing to the murders he claimed his cravings to kill started when he was sexually abused as a child and the urge only got more intense when women romantically rejected him as he grew older. At the time of his crimes he was living with himself, alone in Goiania, Brazil,",Strangler,Goiania Serial Killer
Robert Christian Hansen,2/15/2939,United States,1971-1983,15,21,"Robert Christian Hansen kidnapped prostitutes and then would release them into the Alaska wilderness so Hansen could hunt them down like game animals. Based on discovered remains, police suspect him of six murders in addition to the fifteen for which he was convicted. An aviation map with x marks, was found hidden behind Hansen's headboard. Police later learned the x marks were locations of victims bodies.  At the time of his crimes he was living with his second wife and their two children.","Rapist, Torturer, Stalker",The Butcher Baker
Boone Helm,1/28/1828,United States,1850-1864,11,11,"Boone Helm was a mountain man and gunfighter of the American West. In 1850, Helm stabbed his cousin after asking him to accompany Helm to California. On the way, he murdered several men in various altercations, eventually committing premeditated murder. In 1862 after heavy drinking Helm gunned down an unarmed man. Helm was apprehended in Montana.",Cannibal,The Kentucky Cannibal
Vickie Dawn Jackson,2/13/1966,United States,2000-2001,10,20,"The North Texas hospital where Vickie Dawn Jackson worked as a nurse was plagued by a rash of respiratory deaths, the deaths were not considered suspicious – until administrators realized vials of mivacurium chloride, a powerful drug used to temporarily paralyze a patient's ability to breathe, had gone missing. Investigators eventually focused on Jackson after the hospital administration realized that she'd been the last one in the dead patients' rooms. One of the victim was her husband's grandfather. At the time of her crimes she was living with her husband and children, then alone at a house on Henrietta Street, Nocona, Texas, US.",N/A,Angel of Death
Dale Hausner,2/4/1973,United States,2005-2006,8,8,"Dale Hausner was part of the Serial Shooters of Phoenix, Arizona. The group was responsible for at least eight murders and 29 to 38 other drive-by shootings in 2005 and 2006. Dale Hausner and Samuel Dieteman were arrested in 2006 for the crimes, and are also thought to have been responsible for setting two Wal-Mart stores ablaze in June of 2006. At the time of his crimes he was living with Samuel Dieteman.",N/A,The Serial Shooters
William Devin Howell,2/11/1970,United States,2003,7,7,"William Howell was convicted of murdering seven people in 2003. Howell cut off the tips of a victims fingers and dismantled the bottom jaw at least one of his victims. One of his victims was strangled to death after Howell realized the victim was transgender during a sexual act. He disposed some of the bodies in a wooded area behind a shopping mall in New Britain, Connecticut.","Rapist, Strangler",Sick Ripper
Emile Louis,1/21/1934,France,1975-1978,7,7,"Emile Louis was a bus driver that preyed on young handicapped women (seven murders) in the 1970s. Louis confessed to the murders, later retracting his confession. Louis was sentenced to life in prison on November 25th 2004.",N/A,le boucher de l'Yonne
Friedrich Schumann,2/1/1893,Germany,1918-1919,6,6,"Friedrich Schumann murdered at least six victims in Germany between 1918 and 1919. Schumann would target couples hiking in the Falkenhagener forest near the lake. He would rob and shoot his victims, raping the female victims. Schumann had numerous other charges including multiple charges of rape where the victim was not murdered. He was executed on August 27th 1921",Rapist,Massenmörder vom Falkenhagener (The Mass Murderer of Falkenhagen Lake)
Gary Ray Bowles,1/25/1962,United States,1994,6,6,"Gary Ray Bowles beat and strangled six men to death to steal their credit cards in 1994. Bowles became a suspect after police found his fingerprints and probation records at a crime scene. Bowles murdered five other men in Nassau County, Florida; Jacksonville, Florida; Savannah, Georgia; Atlanta, Georgia; and Wheaton, Maryland. Bowles was placed on the FBI's 10 Most Wanted Fugitive List. At the time of his crimes he was living with alone homeless in Florida, Georgia and Maryland, where he was known to work as a prostitute.",Strangler,N/A
Eugen Weidmann,2/5/1908,France,1937,6,6,"Eugen Weidmann used the alias M. Karrer. He strangled and robbed American dancer Jean de Koven, shot a former accomplice, and shot four other people around Paris in 1937. Weidmann confessed to the murders and was sentenced to death. At the time of his crimes he was living with himself and two partners in crime, Roger Million and Jean Blanc, at a villa in Saint-Cloud, near Paris, France.",Strangler,M. Karrer
James Miller,2/2/1940,Australia,1976-1977,6,7,"James Miller, along with his partner Christopher Robin Worrell, are known to have committed the Truro murders. The Truro murders are a series of murders of young women in bushland east of the town of Truro in South Australia. Miller argued that he never engaged in any murders directly, he claims Worrell acted alone. Miller was found guilty of six murders and sentenced to six consecutive terms of life imprisonment with a non-parole period of 35 years. He died of cancer in 2008.",N/A,Truro murders
Alferd Packer,1/21/1842,United States,1873-1874,5,5,"Alferd Packer was an American prospector and self-proclaimed professional wilderness guide who confessed to cannibalism during the winter of 1874. He and five other men attempted to travel through the San Juan Mountains of Colorado during the peak of a harsh winter. Packer later admitted to having lived off the flesh of his companions. On June 19, 1899, Packer's sentence was upheld by the Colorado Supreme Court. However, he was paroled on February 8, 1901. In 1901, Governor Charles S. Thomas granted Packer's parole request. Packer moved to Littleton, Colorado, where by all accounts he became a model citizen, well liked by all of his neighbors.He died of natural causes on April 23, 1907, and was buried with military funeral in Littleton Cemetery.",Cannibal,The Colorado Cannibal
Roy Lewis Norris,2/2/1948,United States,1979,5,5,"Roy Lewis Norris and Lawrence Bittaker are American serial killers and rapists known as the Tool Box Killers, who together committed the kidnap, rape torture and murder of five teenage girls over a period of five months in southern California in 1979. Bittaker and Norris used standard tools such as pliers, ice picks and sledgehammers to torture and murder their victims. Norris accepted a plea bargain whereby he agreed to testify against Bittaker and was sentenced to life imprisonment in 1980, with possibility of parole after serving thirty years. He is currently incarcerated at Richard J. Donovan Correctional Facility.","Rapist, Torturer, Stalker, Strangler",One of the Tool Box Killers
Romulus Veres,1/23/1929,Romania,1970,5,5,"Romulus Veres would kill his victims with a hammer or by stabbing them with a knife. One victim was pregnant and found in a pool of blood, the neighbors thought she had given birth. Discovering that the woman had been hit in the head, she was rushed to the hospital and later survived. Veres set fire to the bodies of two of his later victims and was known to have raped at least one victim. Veres blamed the Devil for his actions, he suffered from schizophrenia which was used as the grounds of insanity. In 1976, Romulus Veres was institutionalized in the Stei Psychiatric Hospital in Romania where he died from liver disease in 1993.","Rapist, Stalker","The Hammer Man, The Man with the Hammer"
Allan Joseph Legere,2/13/1948,Canada,1989,5,7,"Allan Joseph Legere was convicted of killing five people in the Miramichi area, New Brunswick. Legere is now serving a life sentence Canada's only super maximum prison (Special Handling Unit).",N/A,Monster of the Miramichi
Howell Donaldson,1/26/1993,United States,2017,4,4,Howell Donaldson is believed to have murdered four people in the Seminole Heights neighborhood of Tampa in 2017. All four victims were shot dead seemingly at random.,N/A,"Seminole Heights serial killer, Tampa Bay Serial Killer"
James Hall,1/28/1921,United States,1944-1945,4,24,"James Hall was convicted of killing his 19-year-old wife and three other men around Little Rock, Arkansas between 1944 and 1945. Was sentenced to death in May 1945 and executed on January 4, 1946. Appeared in a comic book article in: Crime does not pay, v. 1, no. 50, Mar. 1947. In May 1945 he was sentenced to death. On January 4, 1946 Hall was executed by electric chair. A few of his last words to attending guards were: ""Boys, I'm not afraid, I can take it.""",N/A,"Big Jim, Arkansas Butcher"
Peter Lundin,2/15/1972,Denmark,1991-2000,4,4,"Peter Lundin killed his own mother in 1991, then killed his mistress and her two children nine years later. In 2001, Peter Lundin was sentenced to life imprisonment.",Strangler,"Bjarne Skounborg, Thomas Kristian Olesen"
Cody Legebokoff,1/21/1990,Canada,2009-2010,4,4,"Cody Legebokoff murdered three women and a teenage girl between 2009 and 2010 in British Columbia, Canada. One victim was included as a suspected victim in the Highway of Tears murders. He used the handle 1CountryBoy on a Canadian social-networking site named Nexopia. He is one of Canada's youngest serial killers.  In 2014, Legebokoff was sentenced to life in prison with no parole for twenty-five years. In 2019, Cody Legebokoff was transferred from the maximum security Kent Institution in British Columbia to the medium security Warkworth Institution in Ontario.",Rapist,The Country Boy Killer
Colin Norris,2/12/1976,United Kingdom,2001-2002,4,4,"Colin Norris is a former nurse from the Milton area of Glasgow, Scotland who was convicted of murdering four elderly patients in a hospital in Leeds, England, in 2002. He was sentenced in 2008 to serve a minimum of 30 years in prison. Doubts have since been raised about his conviction by, among others, retired Professor Vincent Marks, an expert on insulin poisoning.",N/A,N/A
Jerome Jerry Brudos,1/31/1939,United States ,1968-1969,4,4,"Jerome Jerry Brudos was as electronics technician who bludgeoned and strangled four young women while dressed up in women's clothing. Brudos charged with three counts of first degree murder for the murders of Jan Whitney, Linda Salee, and Karen Sprinker. At the time of his crimes he was living with his wife and two children Brudos was one of six killers (Edmund Kemper, Ted Bundy, Ed Gein, Gary M. Heidnik, Gary Ridgway and Brudos) who served as an inspiration for the character of Buffalo Bill in Thomas Harris' 1988 novel The Silence of the Lambs and its film adaptation.","Rapist, Necrophiliac, Strangler, Stalker","The Lust Killer, The Shoe Fetish Slayer"
Marc Sappington,2/9/1978,United States,2001,4,4,"Marc Sappington was a schizophrenic serial killer who heard voices telling him to kill after extended daily PCP use. He was convicted of murdering four acquaintances in March and April 2001 in Kansas City, Kansas. He gained notoriety for eating part of the leg of one of his victims, Alton ""Fred"" Brown.

",Cannibal,N/A
Gordon Cummins,2/18/1914,United Kingdom,1942,4,6,"Gordon Cummins's murders took place over a six-day period in February 1942, during the Blackout in the Second World War. Cummins raped three of his victims and robbed the remaining victim. He also attacked two other women. He left behind his gas mask container marked with his service number 525987, identifying Cummins as the attacker. At the time of his crimes he was living with his wife.","Rapist, Strangler","The Blackout Ripper, The Blackout Killer"
Diane Odell,2/7/1953,United States,1982-1985,3,4,"Diane Odell was convicted of murdering three of her twelve children. In 2003 the bodies of the three dead newborns were found in a storage shed Odell rented and abandoned in Arizona. The three infants were born between 1981 and 1984, when she was living in New York. Since their deaths Odell moved the decaying corpses with her as she moved from place to place across the country. A fourth body was found stuffed in a suitcase and placed in a junked car in a wrecking yard near Kauneonga Lake, Odell was not charged for this murder. She claimed all three newborns died of natural causes shortly after their birth. At the time of her crimes she was living with her common-law husband, Robert Sauerstein, and five of their children. In 2004, Diane Odell was sentenced to life in prison.",N/A,Babies in Boxes Murder Case
Erwin Hagedorn,1/30/1952,Germany,1969-1971,3,3,"Erwin Hagedorn killed three boys ages 9 to 12 in a forest in Eberswalde, Germany. In 1969, Hagedorn killed two nine-year-old boys. In 1971, Hagedorn stabbed an eleven-year-old boy, dismembered him, and tried to hide the body. He was arrested on November 12th 1971, convicted on May 15th 1972. Erwin Hagedorn was executed by a single gunshot to the head in 1972.","Rapist, Stalker",Hans Erwin Hagedorn
Lam Kwok-wai,1/27/1971,Hong Kong,1993,3,3,"Lam Kwok-wai was convicted of ten rapes and three murders that he committed with his bare hands, referring to his right hand as his ""fork"". Lam Kwok-wai is one of two only known serial killers in Hong Kong, the other is Lam Kor-wan.",Rapist,The Tuen Mun Rapist
Stephen Morin,2/19/1951,United States,1981,3,30,"Stephen Morin killed three women victims. His last victim, Margaret Palm, rode around with him in a car for 10 hours before taking him to a bus station and buying him a ticket to Austin. He let her go, boarded the bus and surrendered himself to authorities without resistance. In 1985, Stephen Morin was executed by lethal injection in Texas. Morin was also suspected in over thirty unsolved crimes.",N/A,N/A
Michael Gargiulo,2/12/1960,United States,1993-2008,3,6,"Michael Gargiulo alleged killing sprees spanned from 1993–2000 in Chicago and 2001–2008 in Santa Monica, CA and Los Angeles, CA. Gargiulo was made notable for allegedly killing Ashton Kutcher's former girlfriend Ashley Ellerin in 2001. Gargiulo is accused of stabbing three women to death and attempting to murder a fourth. Gargiulo was a neighbor of each victim at the time of the attacks. DNA found at the potential fourth victims house was a match to Gargiulo.",N/A,"Chiller Killer, Hollywood Ripper"
Sergei Martynov,6/2/1962,Russia,1992-2010,9,9,"Martynov often mutilated his female victims by removing their breasts and genitalia. In 1984, Martynov was serving in the army and charged for desertion. In 1989, Martynov was released on parole. In 1991, Martynov raped and killed a minor girl and hid her body in a cellar, for which he was sentenced to fifteen years in prison in 1992. He was released on parole in 2004. He was arrested in 2010 at a cafe in where he worked. He was sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010. In 2012, Sergei Martynov was sentenced to life imprisonment at the White Swan Colony in Solikamsk, Russia.","Rapist, Strangler, Pedophile","Raschlenytel, the Torso killer"
Andrew Urdiales,6/4/1964,United States,1986-1996,8,8,"Urdiales abducted, raped and shot his victims, before dumping the bodies. Some of his murders were committed while he was enlisted in the Marines. He was arrested in connection with a series of murders in 1997. While police ran ballistic tests on his gun, Urdiales confessed to all eight murders. He was convicted of three murders in 2002 and five murders in 2018. In 2018, Urdiales committed suicide by hanging himself in his cell at San Quentin State Prison in San Quentin, California.",Rapist,
Roger Kibbe,5/21/1939,United States,1977-1987,7,38,"Kibbe killed seven women between 1977 and 1987. Six along I-5 near Sacramento, and one in Walnut Creek, California. Kibbe kidnapped his victims, bound, duct taped the mouths and cut open their clothes in irregular shapes with scissors that had belonged to his mother. Kibbe also cut off most of the hair of his victims to remove the duct tape. It took detectives thirty-four years to find the body of one of his victims.","Rapist, Strangler",The I-5 Strangler
Ramon Escobar,6/5/1971,United States,2018,6,7,Ramon Escobar (Ramon Alberto Escobar) an El Salvador-native and suspected American serial killer known as the Homeless serial killer. Escobar is accused of a series of homeless beatings resulting in four deaths. Several of the attacks were carried out with a baseball bat and at least one with a set of bolt cutters. Escobar was arrested on September 24th 2018 in the Los Angeles suburb of Santa Monica after a man was beaten unconscious and robbed.,,Homeless serial killer
Thomas Neill Cream,5/27/1850,"United States, United Kingdom",1881-1892,5,8,"Thomas Neill Cream was a Scottish-Canadian serial killer known as the The Lambeth Poisoner. Cream poisoned one man and several women with chloroform and strychnine, attempting to frame and then blackmail other men for the murders in some cases. Thomas Neill Cream was executed in 1892 at Newgate Prison in London, England.",Stalker,The Lambeth Poisoner
William MacDonald,6/17/1924,Australia,1961-1962,5,5,"MacDonald claims he was raped in an air-raid shelter by one of his corporals while enlisted in the Army. He was charged with indecent assault when he touched a detective on the penis in a public toilet in Adelaide, the capital of South Australia. MacDonald murdered male derelicts in Sydney and Brisbane between 1961 and 1962. He would violently stab victims with a long bladed knife and sever their penis and testicles. He was sentenced to five consecutive life sentences in 1963. In 2015, William MacDonald died of natural causes while still in prison.",Strangler,The Sydney Mutilator
Edward Edwards,6/14/1933,United States,1977-1996,5,5,"Edward Edwards (Edward Wayne Edwards) (born Charles Wayne Murray) an American serial killer known for committing the Sweetheart Murders. In 1955, Edwards escaped from a jail in Akron, Ohio. He robbed gas stations around the country and was on the FBI's Ten Most Wanted Fugitives list in 1961. He was imprisoned and later paroled in 1967, publishing a book titled Metamorphosis of a Criminal in 1972. Edwards shot a young couple in 1977. He stabbed and strangled another couple in 1980. He was arrested in Louisville, Kentucky, for the 1980 Sweetheart Murders. Edwards died on April 7, 2011, months prior to his execution for shooting his foster son in a 1996 insurance murder.","Rapist, Strangler",Sweetheart Murderer
Dale Cregan,6/6/1983,United Kingdom,2012,4,4,Dale Cregan (Dale Christopher Cregan) Cregan was sentenced to a whole life order in prison for four counts of homicide involving the use of firearms—including killing two police officers—and three separate counts of attempted murder.,,
Frank Gust,5/24/1969,Germany,1994-1998,4,4,"Frank Gust a German serial killer known as Rhein-Ruhr Ripper. Gust killed four women from 1994 to 1998. He was known to mutilate the body of his victims, decapitating at least one victim. Gust murdered two prostitutes, a hitchhiker and his wife Aunt. Frank Gust was arrested in 1999 and sentenced to life imprisonment in 2000.",,Rhein-Ruhr Ripper
David Meirhofer,6/8/1949,United States,1967-1974,4,4,"Meirhofer killed three children and an ex-girlfriend between 1967 and 1974. Meirhofer would kidnap and dismember his victims, his method of killing his victims is unknown. He was the first serial killer apprehended by offender profiling. In 1974, David Meirhofer committed suicide by hanging himself in his jail cell.",,
Kathleen Folbigg,6/14/1967,Australia,1989-1999,4,4,"Kathleen Folbigg (born Kathleen Megan Donovan) an Australian serial child killer. Folbigg was convicted of murdering her three infant children and the manslaughter of a fourth child. When Kathleen was 1 year old, her father, Thomas John Britton, murdered Kathleen's mother, also named Kathleen, by stabbing her twenty-four times.",,Australia’s worst serial killer
DeAngelo Martin,5/30/1985,United States,2018-2019,3,6,"Martin is suspected of targeting prostitutes, luring victims into abandoned buildings where he would rape and stab victims to death. The bodies of the women, all in their 50s, were found nude and posed in a kneeling position. Investigators collected DNA evidence from condoms left at all three crime scenes. Martin's DNA was recovered from a 26-year-old woman who escaped Martin's attack on May 7, 2019. On June 7, 2019, Martin was arrested at a bus stop in the area of 7 Mile Road and Gratiot Avenue in the east side of Detroit. Detroit Police are investigating Martin in connection with at least three additional murder cases.",Rapist,
Duke Pierson,5/21/1933,United States,1967,3,3,"Duke Pierson (Duke James Pierson) an American serial killer and a former Detective Sergeant for the Spokane County Sheriff's Office who was known as the Spokane serial killer. Pierson is connected to the deaths of three women who died in the summer of 1967. He began his career in law enforcement in 1959 as a Spokane County deputy, Pierson quit, suddenly, in 1966. Two of Pierson's victims were pregnant with his child at the time of their deaths, his wife and his mistress. One victim disappeared after leaving a bar. Two bodies were buried and the body of his wife was found in the rear seat of a car inside the family's garage with a hose leading from the exhaust to a rear window of the vehicle. Duke Pierson died of natural causes in 2019 prior to being arrested. His service was held at Keahey Funeral Home in Andalusia, Alabama.",,The Spokane serial killer
Silvo Plut,5/29/1968,"Slovenia, Serbia, Montenegro",1990-2006,3,3,"After serving thirteen years in prison in Slovenia for a rape and murder, Plut murdered a second woman in Serbia in 2004 and fled back to Slovenia, where a Serbian petition of extradition was turned down by the government. He was then arrested for attacking a couple, the wife died, the husband survived. Plut's cousin Bojan Plut was also a serial killer. Plut was sentenced to thirty years in prison. In 2007, Silvo Plut committed suicide by overdosing on sleeping pills in his Ljubljana prison cell.",Rapist,
